,Jacard Benzerliği
"('Colin Creevey', 'Cedric Diggory')",0.2
"('Colin Creevey', 'Cho Chang')",0.25
"('Colin Creevey', 'Cormac McLaggen')",0.0
"('Colin Creevey', 'Dean Thomas')",0.1
"('Colin Creevey', 'Demelza Robins')",0.0
"('Colin Creevey', 'Dennis Creevey')",1.0
"('Colin Creevey', 'Draco Malfoy')",0.0
"('Colin Creevey', 'Eddie Carmichael')",0.0
"('Colin Creevey', 'Eleanor Branstone')",0.0
"('Colin Creevey', 'Ernie Macmillan')",0.1111111111111111
"('Colin Creevey', 'Euan Abercrombie')",0.0
"('Colin Creevey', 'Fred Weasley')",0.07692307692307693
"('Colin Creevey', 'George Weasley')",0.07692307692307693
"('Colin Creevey', 'Ginny Weasley')",0.09090909090909091
"('Colin Creevey', 'Graham Pritchard')",0.0
"('Colin Creevey', 'Gregory Goyle')",0.0
"('Colin Creevey', 'Hannah Abbott')",0.1111111111111111
"('Colin Creevey', 'Harry James Potter')",0.045454545454545456
"('Colin Creevey', 'Hermione Granger')",0.058823529411764705
"('Colin Creevey', 'Jimmy Peakes')",0.0
"('Colin Creevey', 'Justin Finch-Fletchley')",0.1111111111111111
"('Colin Creevey', 'Katie Bell')",0.1111111111111111
"('Colin Creevey', 'Kevin Whitby')",0.0
"('Colin Creevey', 'Lavender Brown')",0.0
"('Colin Creevey', 'Leanne')",0.0
"('Colin Creevey', 'Lee Jordan')",0.14285714285714285
"('Colin Creevey', 'Lucian Bole')",0.0
"('Colin Creevey', 'Luna Lovegood')",0.125
"('Colin Creevey', 'Malcolm Baddock')",0.0
"('Colin Creevey', 'Mandy Brocklehurst')",0.0
"('Colin Creevey', 'Marcus Belby')",0.0
"('Colin Creevey', 'Marcus Flint')",0.0
"('Colin Creevey', 'Michael Corner')",0.0
"('Colin Creevey', 'Miles Bletchley')",0.0
"('Colin Creevey', 'Millicent Bulstrode')",0.0
"('Colin Creevey', 'Natalie McDonald')",0.0
"('Colin Creevey', 'Neville Longbottom')",0.1
"('Colin Creevey', 'Oliver Wood')",0.1
"('Colin Creevey', 'Orla Quirke')",0.0
"('Colin Creevey', 'Owen Cauldwell')",0.0
"('Colin Creevey', 'Padma Patil')",0.3333333333333333
"('Colin Creevey', 'Pansy Parkinson')",0.0
"('Colin Creevey', 'Parvati Patil')",0.0
"('Colin Creevey', 'Penelope Clearwater')",0.0
"('Colin Creevey', 'Percy Weasley')",0.16666666666666666
"('Colin Creevey', 'Peregrine Derrick')",0.0
"('Colin Creevey', 'Roger Davies')",0.0
"('Colin Creevey', 'Romilda Vane')",0.0
"('Colin Creevey', 'Ronald Weasley')",0.058823529411764705
"('Colin Creevey', 'Rose Zeller')",0.0
"('Colin Creevey', 'Seamus Finnigan')",0.1
"('Colin Creevey', 'Stewart Ackerley')",0.0
"('Colin Creevey', 'Susan Bones')",0.1111111111111111
"('Colin Creevey', 'Terry Boot')",0.1
"('Colin Creevey', 'Theodore Nott')",0.0
"('Colin Creevey', 'Vincent Crabbe')",0.0
"('Colin Creevey', 'Zacharias Smith')",0.0
"('Cormac McLaggen', 'Adrian Pucey')",0.0
"('Cormac McLaggen', 'Alicia Spinnet')",0.0
"('Cormac McLaggen', 'Angelina Johnson')",0.0
"('Cormac McLaggen', 'Anthony Goldstein')",0.0
"('Cormac McLaggen', 'Blaise Zabini')",0.0
"('Cormac McLaggen', 'C. Warrington')",0.0
"('Cormac McLaggen', 'Cedric Diggory')",0.0
"('Cormac McLaggen', 'Cho Chang')",0.0
"('Cormac McLaggen', 'Colin Creevey')",0.0
"('Cormac McLaggen', 'Dean Thomas')",0.0
"('Cormac McLaggen', 'Demelza Robins')",0.0
"('Cormac McLaggen', 'Dennis Creevey')",0.0
"('Cormac McLaggen', 'Draco Malfoy')",0.0
"('Cormac McLaggen', 'Eddie Carmichael')",0.0
"('Cormac McLaggen', 'Eleanor Branstone')",0.0
"('Cormac McLaggen', 'Ernie Macmillan')",0.0
"('Cormac McLaggen', 'Euan Abercrombie')",0.0
"('Cormac McLaggen', 'Fred Weasley')",0.0
"('Cormac McLaggen', 'George Weasley')",0.0
"('Cormac McLaggen', 'Ginny Weasley')",0.0
"('Cormac McLaggen', 'Graham Pritchard')",0.0
"('Cormac McLaggen', 'Gregory Goyle')",0.0
"('Cormac McLaggen', 'Hannah Abbott')",0.0
"('Cormac McLaggen', 'Harry James Potter')",0.0
"('Cormac McLaggen', 'Hermione Granger')",0.0
"('Cormac McLaggen', 'Jimmy Peakes')",0.0
"('Cormac McLaggen', 'Justin Finch-Fletchley')",0.0
"('Cormac McLaggen', 'Katie Bell')",0.0
"('Cormac McLaggen', 'Kevin Whitby')",0.0
"('Cormac McLaggen', 'Lavender Brown')",0.0
"('Cormac McLaggen', 'Leanne')",0.0
"('Cormac McLaggen', 'Lee Jordan')",0.0
"('Cormac McLaggen', 'Lucian Bole')",0.0
"('Cormac McLaggen', 'Luna Lovegood')",0.0
"('Cormac McLaggen', 'Malcolm Baddock')",0.0
"('Cormac McLaggen', 'Mandy Brocklehurst')",0.0
"('Cormac McLaggen', 'Marcus Belby')",0.0
"('Cormac McLaggen', 'Marcus Flint')",0.0
"('Cormac McLaggen', 'Michael Corner')",0.0
"('Cormac McLaggen', 'Miles Bletchley')",0.0
"('Cormac McLaggen', 'Millicent Bulstrode')",0.0
"('Cormac McLaggen', 'Natalie McDonald')",0.0
"('Cormac McLaggen', 'Neville Longbottom')",0.0
"('Cormac McLaggen', 'Oliver Wood')",0.0
"('Cormac McLaggen', 'Orla Quirke')",0.0
"('Cormac McLaggen', 'Owen Cauldwell')",0.0
"('Cormac McLaggen', 'Padma Patil')",0.0
"('Cormac McLaggen', 'Pansy Parkinson')",0.0
"('Cormac McLaggen', 'Parvati Patil')",0.0
"('Cormac McLaggen', 'Penelope Clearwater')",0.0
"('Cormac McLaggen', 'Percy Weasley')",0.0
"('Cormac McLaggen', 'Peregrine Derrick')",0.0
"('Cormac McLaggen', 'Roger Davies')",0.0
"('Cormac McLaggen', 'Romilda Vane')",0.0
"('Cormac McLaggen', 'Ronald Weasley')",0.0
"('Cormac McLaggen', 'Rose Zeller')",0.0
"('Cormac McLaggen', 'Seamus Finnigan')",0.0
"('Cormac McLaggen', 'Stewart Ackerley')",0.0
"('Cormac McLaggen', 'Susan Bones')",0.0
"('Cormac McLaggen', 'Terry Boot')",0.0
"('Cormac McLaggen', 'Theodore Nott')",0.0
"('Cormac McLaggen', 'Vincent Crabbe')",0.0
"('Cormac McLaggen', 'Zacharias Smith')",0.0
"('Dean Thomas', 'Adrian Pucey')",0.0
"('Dean Thomas', 'Alicia Spinnet')",0.21428571428571427
"('Dean Thomas', 'Angelina Johnson')",0.21428571428571427
"('Dean Thomas', 'Anthony Goldstein')",0.07142857142857142
"('Dean Thomas', 'Blaise Zabini')",0.0
"('Dean Thomas', 'C. Warrington')",0.0
"('Dean Thomas', 'Cedric Diggory')",0.1
"('Dean Thomas', 'Cho Chang')",0.1111111111111111
"('Dean Thomas', 'Colin Creevey')",0.1
"('Dean Thomas', 'Cormac McLaggen')",0.0
"('Dean Thomas', 'Demelza Robins')",0.0
"('Dean Thomas', 'Dennis Creevey')",0.1
"('Dean Thomas', 'Draco Malfoy')",0.0
"('Dean Thomas', 'Eddie Carmichael')",0.0
"('Dean Thomas', 'Eleanor Branstone')",0.0
"('Dean Thomas', 'Ernie Macmillan')",0.07142857142857142
"('Dean Thomas', 'Euan Abercrombie')",0.0
"('Dean Thomas', 'Fred Weasley')",0.1875
"('Dean Thomas', 'George Weasley')",0.1875
"('Dean Thomas', 'Ginny Weasley')",0.3076923076923077
"('Dean Thomas', 'Graham Pritchard')",0.0
"('Dean Thomas', 'Gregory Goyle')",0.0
"('Dean Thomas', 'Hannah Abbott')",0.07142857142857142
"('Dean Thomas', 'Harry James Potter')",0.2727272727272727
"('Dean Thomas', 'Hermione Granger')",0.35294117647058826
"('Dean Thomas', 'Jimmy Peakes')",0.0
"('Dean Thomas', 'Justin Finch-Fletchley')",0.07142857142857142
"('Dean Thomas', 'Katie Bell')",0.07142857142857142
"('Dean Thomas', 'Kevin Whitby')",0.0
"('Dean Thomas', 'Lavender Brown')",0.25
"('Dean Thomas', 'Leanne')",0.0
"('Dean Thomas', 'Lee Jordan')",0.18181818181818182
"('Dean Thomas', 'Lucian Bole')",0.0
"('Dean Thomas', 'Luna Lovegood')",0.4
"('Dean Thomas', 'Malcolm Baddock')",0.0
"('Dean Thomas', 'Mandy Brocklehurst')",0.0
"('Dean Thomas', 'Marcus Belby')",0.0
"('Dean Thomas', 'Marcus Flint')",0.0
"('Dean Thomas', 'Michael Corner')",0.0
"('Dean Thomas', 'Miles Bletchley')",0.0
"('Dean Thomas', 'Millicent Bulstrode')",0.0
"('Dean Thomas', 'Natalie McDonald')",0.0
"('Dean Thomas', 'Neville Longbottom')",0.6
"('Dean Thomas', 'Oliver Wood')",0.14285714285714285
"('Dean Thomas', 'Orla Quirke')",0.0
"('Dean Thomas', 'Owen Cauldwell')",0.0
"('Dean Thomas', 'Padma Patil')",0.125
"('Dean Thomas', 'Pansy Parkinson')",0.0
"('Dean Thomas', 'Parvati Patil')",0.625
"('Dean Thomas', 'Penelope Clearwater')",0.0
"('Dean Thomas', 'Percy Weasley')",0.2
"('Dean Thomas', 'Peregrine Derrick')",0.0
"('Dean Thomas', 'Roger Davies')",0.0
"('Dean Thomas', 'Romilda Vane')",0.0
"('Dean Thomas', 'Ronald Weasley')",0.4375
"('Dean Thomas', 'Rose Zeller')",0.0
"('Dean Thomas', 'Seamus Finnigan')",1.0
"('Dean Thomas', 'Stewart Ackerley')",0.0
"('Dean Thomas', 'Susan Bones')",0.07142857142857142
"('Dean Thomas', 'Terry Boot')",0.14285714285714285
"('Dean Thomas', 'Theodore Nott')",0.0
"('Dean Thomas', 'Vincent Crabbe')",0.0
"('Dean Thomas', 'Zacharias Smith')",0.0
"('Demelza Robins', 'Adrian Pucey')",0.0
"('Demelza Robins', 'Alicia Spinnet')",0.0
"('Demelza Robins', 'Angelina Johnson')",0.0
"('Demelza Robins', 'Anthony Goldstein')",0.0
"('Demelza Robins', 'Blaise Zabini')",0.0
"('Demelza Robins', 'C. Warrington')",0.0
"('Demelza Robins', 'Cedric Diggory')",0.0
"('Demelza Robins', 'Cho Chang')",0.0
"('Demelza Robins', 'Colin Creevey')",0.0
"('Demelza Robins', 'Cormac McLaggen')",0.0
"('Demelza Robins', 'Dean Thomas')",0.0
"('Demelza Robins', 'Dennis Creevey')",0.0
"('Demelza Robins', 'Draco Malfoy')",0.0
"('Demelza Robins', 'Eddie Carmichael')",0.0
"('Demelza Robins', 'Eleanor Branstone')",0.0
"('Demelza Robins', 'Ernie Macmillan')",0.0
"('Demelza Robins', 'Euan Abercrombie')",0.0
"('Demelza Robins', 'Fred Weasley')",0.0
"('Demelza Robins', 'George Weasley')",0.0
"('Demelza Robins', 'Ginny Weasley')",0.1111111111111111
"('Demelza Robins', 'Graham Pritchard')",0.0
"('Demelza Robins', 'Gregory Goyle')",0.0
"('Demelza Robins', 'Hannah Abbott')",0.0
"('Demelza Robins', 'Harry James Potter')",0.05
"('Demelza Robins', 'Hermione Granger')",0.0
"('Demelza Robins', 'Jimmy Peakes')",0.5
"('Demelza Robins', 'Justin Finch-Fletchley')",0.0
"('Demelza Robins', 'Katie Bell')",0.0
"('Demelza Robins', 'Kevin Whitby')",0.0
"('Demelza Robins', 'Lavender Brown')",0.0
"('Demelza Robins', 'Leanne')",0.0
"('Demelza Robins', 'Lee Jordan')",0.0
"('Demelza Robins', 'Lucian Bole')",0.0
"('Demelza Robins', 'Luna Lovegood')",0.0
"('Demelza Robins', 'Malcolm Baddock')",0.0
"('Demelza Robins', 'Mandy Brocklehurst')",0.0
"('Demelza Robins', 'Marcus Belby')",0.0
"('Demelza Robins', 'Marcus Flint')",0.0
"('Demelza Robins', 'Michael Corner')",0.0
"('Demelza Robins', 'Miles Bletchley')",0.0
"('Demelza Robins', 'Millicent Bulstrode')",0.0
"('Demelza Robins', 'Natalie McDonald')",0.0
"('Demelza Robins', 'Neville Longbottom')",0.0
"('Demelza Robins', 'Oliver Wood')",0.0
"('Demelza Robins', 'Orla Quirke')",0.0
"('Demelza Robins', 'Owen Cauldwell')",0.0
"('Demelza Robins', 'Padma Patil')",0.0
"('Demelza Robins', 'Pansy Parkinson')",0.0
"('Demelza Robins', 'Parvati Patil')",0.0
"('Demelza Robins', 'Penelope Clearwater')",0.0
"('Demelza Robins', 'Percy Weasley')",0.0
"('Demelza Robins', 'Peregrine Derrick')",0.0
"('Demelza Robins', 'Roger Davies')",0.0
"('Demelza Robins', 'Romilda Vane')",0.0
"('Demelza Robins', 'Ronald Weasley')",0.0
"('Demelza Robins', 'Rose Zeller')",0.0
"('Demelza Robins', 'Seamus Finnigan')",0.0
"('Demelza Robins', 'Stewart Ackerley')",0.0
"('Demelza Robins', 'Susan Bones')",0.0
"('Demelza Robins', 'Terry Boot')",0.0
"('Demelza Robins', 'Theodore Nott')",0.0
"('Demelza Robins', 'Vincent Crabbe')",0.0
"('Demelza Robins', 'Zacharias Smith')",0.0
"('Dennis Creevey', 'Adrian Pucey')",0.0
"('Dennis Creevey', 'Alicia Spinnet')",0.09090909090909091
"('Dennis Creevey', 'Angelina Johnson')",0.09090909090909091
"('Dennis Creevey', 'Anthony Goldstein')",0.1111111111111111
"('Dennis Creevey', 'Blaise Zabini')",0.0
"('Dennis Creevey', 'C. Warrington')",0.0
"('Dennis Creevey', 'Cedric Diggory')",0.2
"('Dennis Creevey', 'Cho Chang')",0.25
"('Dennis Creevey', 'Colin Creevey')",1.0
"('Dennis Creevey', 'Cormac McLaggen')",0.0
"('Dennis Creevey', 'Dean Thomas')",0.1
"('Dennis Creevey', 'Demelza Robins')",0.0
"('Dennis Creevey', 'Draco Malfoy')",0.0
"('Dennis Creevey', 'Eddie Carmichael')",0.0
"('Dennis Creevey', 'Eleanor Branstone')",0.0
"('Dennis Creevey', 'Ernie Macmillan')",0.1111111111111111
"('Dennis Creevey', 'Euan Abercrombie')",0.0
"('Dennis Creevey', 'Fred Weasley')",0.07692307692307693
"('Dennis Creevey', 'George Weasley')",0.07692307692307693
"('Dennis Creevey', 'Ginny Weasley')",0.09090909090909091
"('Dennis Creevey', 'Graham Pritchard')",0.0
"('Dennis Creevey', 'Gregory Goyle')",0.0
"('Dennis Creevey', 'Hannah Abbott')",0.1111111111111111
"('Dennis Creevey', 'Harry James Potter')",0.045454545454545456
"('Dennis Creevey', 'Hermione Granger')",0.058823529411764705
"('Dennis Creevey', 'Jimmy Peakes')",0.0
"('Dennis Creevey', 'Justin Finch-Fletchley')",0.1111111111111111
"('Dennis Creevey', 'Katie Bell')",0.1111111111111111
"('Dennis Creevey', 'Kevin Whitby')",0.0
"('Dennis Creevey', 'Lavender Brown')",0.0
"('Dennis Creevey', 'Leanne')",0.0
"('Dennis Creevey', 'Lee Jordan')",0.14285714285714285
"('Dennis Creevey', 'Lucian Bole')",0.0
"('Dennis Creevey', 'Luna Lovegood')",0.125
"('Dennis Creevey', 'Malcolm Baddock')",0.0
"('Dennis Creevey', 'Mandy Brocklehurst')",0.0
"('Dennis Creevey', 'Marcus Belby')",0.0
"('Dennis Creevey', 'Marcus Flint')",0.0
"('Dennis Creevey', 'Michael Corner')",0.0
"('Dennis Creevey', 'Miles Bletchley')",0.0
"('Dennis Creevey', 'Millicent Bulstrode')",0.0
"('Dennis Creevey', 'Natalie McDonald')",0.0
"('Dennis Creevey', 'Neville Longbottom')",0.1
"('Dennis Creevey', 'Oliver Wood')",0.1
"('Dennis Creevey', 'Orla Quirke')",0.0
"('Dennis Creevey', 'Owen Cauldwell')",0.0
"('Dennis Creevey', 'Padma Patil')",0.3333333333333333
"('Dennis Creevey', 'Pansy Parkinson')",0.0
"('Dennis Creevey', 'Parvati Patil')",0.0
"('Dennis Creevey', 'Penelope Clearwater')",0.0
"('Dennis Creevey', 'Percy Weasley')",0.16666666666666666
"('Dennis Creevey', 'Peregrine Derrick')",0.0
"('Dennis Creevey', 'Roger Davies')",0.0
"('Dennis Creevey', 'Romilda Vane')",0.0
"('Dennis Creevey', 'Ronald Weasley')",0.058823529411764705
"('Dennis Creevey', 'Rose Zeller')",0.0
"('Dennis Creevey', 'Seamus Finnigan')",0.1
"('Dennis Creevey', 'Stewart Ackerley')",0.0
"('Dennis Creevey', 'Susan Bones')",0.1111111111111111
"('Dennis Creevey', 'Terry Boot')",0.1
"('Dennis Creevey', 'Theodore Nott')",0.0
"('Dennis Creevey', 'Vincent Crabbe')",0.0
"('Dennis Creevey', 'Zacharias Smith')",0.0
"('Draco Malfoy', 'Adrian Pucey')",0.0
"('Draco Malfoy', 'Alicia Spinnet')",0.0
"('Draco Malfoy', 'Angelina Johnson')",0.0
"('Draco Malfoy', 'Anthony Goldstein')",0.0
"('Draco Malfoy', 'Blaise Zabini')",0.0
"('Draco Malfoy', 'C. Warrington')",0.0
"('Draco Malfoy', 'Cedric Diggory')",0.0
"('Draco Malfoy', 'Cho Chang')",0.0
"('Draco Malfoy', 'Colin Creevey')",0.0
"('Draco Malfoy', 'Cormac McLaggen')",0.0
"('Draco Malfoy', 'Dean Thomas')",0.0
"('Draco Malfoy', 'Demelza Robins')",0.0
"('Draco Malfoy', 'Dennis Creevey')",0.0
"('Draco Malfoy', 'Eddie Carmichael')",0.0
"('Draco Malfoy', 'Eleanor Branstone')",0.0
"('Draco Malfoy', 'Ernie Macmillan')",0.0
"('Draco Malfoy', 'Euan Abercrombie')",0.0
"('Draco Malfoy', 'Fred Weasley')",0.0
"('Draco Malfoy', 'George Weasley')",0.0
"('Draco Malfoy', 'Ginny Weasley')",0.0
"('Draco Malfoy', 'Graham Pritchard')",0.0
"('Draco Malfoy', 'Gregory Goyle')",0.4
"('Draco Malfoy', 'Hannah Abbott')",0.0
"('Draco Malfoy', 'Harry James Potter')",0.0
"('Draco Malfoy', 'Hermione Granger')",0.0
"('Draco Malfoy', 'Jimmy Peakes')",0.0
"('Draco Malfoy', 'Justin Finch-Fletchley')",0.0
"('Draco Malfoy', 'Katie Bell')",0.0
"('Draco Malfoy', 'Kevin Whitby')",0.0
"('Draco Malfoy', 'Lavender Brown')",0.0
"('Draco Malfoy', 'Leanne')",0.0
"('Draco Malfoy', 'Lee Jordan')",0.0
"('Draco Malfoy', 'Lucian Bole')",0.0
"('Draco Malfoy', 'Luna Lovegood')",0.0
"('Draco Malfoy', 'Malcolm Baddock')",0.0
"('Draco Malfoy', 'Mandy Brocklehurst')",0.0
"('Draco Malfoy', 'Marcus Belby')",0.0
"('Draco Malfoy', 'Marcus Flint')",0.6666666666666666
"('Draco Malfoy', 'Michael Corner')",0.0
"('Draco Malfoy', 'Miles Bletchley')",0.0
"('Draco Malfoy', 'Millicent Bulstrode')",0.0
"('Draco Malfoy', 'Natalie McDonald')",0.0
"('Draco Malfoy', 'Neville Longbottom')",0.0
"('Draco Malfoy', 'Oliver Wood')",0.0
"('Draco Malfoy', 'Orla Quirke')",0.0
"('Draco Malfoy', 'Owen Cauldwell')",0.0
"('Draco Malfoy', 'Padma Patil')",0.0
"('Draco Malfoy', 'Pansy Parkinson')",0.4
"('Draco Malfoy', 'Parvati Patil')",0.0
"('Draco Malfoy', 'Penelope Clearwater')",0.0
"('Draco Malfoy', 'Percy Weasley')",0.0
"('Draco Malfoy', 'Peregrine Derrick')",0.0
"('Draco Malfoy', 'Roger Davies')",0.0
"('Draco Malfoy', 'Romilda Vane')",0.0
"('Draco Malfoy', 'Ronald Weasley')",0.0
"('Draco Malfoy', 'Rose Zeller')",0.0
"('Draco Malfoy', 'Seamus Finnigan')",0.0
"('Draco Malfoy', 'Stewart Ackerley')",0.0
"('Draco Malfoy', 'Susan Bones')",0.0
"('Draco Malfoy', 'Terry Boot')",0.0
"('Draco Malfoy', 'Theodore Nott')",0.0
"('Draco Malfoy', 'Vincent Crabbe')",0.4
"('Draco Malfoy', 'Zacharias Smith')",0.0
"('Eddie Carmichael', 'Adrian Pucey')",0.0
"('Eddie Carmichael', 'Alicia Spinnet')",0.0
"('Eddie Carmichael', 'Angelina Johnson')",0.0
"('Eddie Carmichael', 'Anthony Goldstein')",0.0
"('Eddie Carmichael', 'Blaise Zabini')",0.0
"('Eddie Carmichael', 'C. Warrington')",0.0
"('Eddie Carmichael', 'Cedric Diggory')",0.0
"('Eddie Carmichael', 'Cho Chang')",0.0
"('Eddie Carmichael', 'Colin Creevey')",0.0
"('Eddie Carmichael', 'Cormac McLaggen')",0.0
"('Eddie Carmichael', 'Dean Thomas')",0.0
"('Eddie Carmichael', 'Demelza Robins')",0.0
"('Eddie Carmichael', 'Dennis Creevey')",0.0
"('Eddie Carmichael', 'Draco Malfoy')",0.0
"('Eddie Carmichael', 'Eleanor Branstone')",0.0
"('Eddie Carmichael', 'Ernie Macmillan')",0.0
"('Eddie Carmichael', 'Euan Abercrombie')",0.0
"('Eddie Carmichael', 'Fred Weasley')",0.0
"('Eddie Carmichael', 'George Weasley')",0.0
"('Eddie Carmichael', 'Ginny Weasley')",0.0
"('Eddie Carmichael', 'Graham Pritchard')",0.0
"('Eddie Carmichael', 'Gregory Goyle')",0.0
"('Eddie Carmichael', 'Hannah Abbott')",0.0
"('Eddie Carmichael', 'Harry James Potter')",0.0
"('Eddie Carmichael', 'Hermione Granger')",0.0
"('Eddie Carmichael', 'Jimmy Peakes')",0.0
"('Eddie Carmichael', 'Justin Finch-Fletchley')",0.0
"('Eddie Carmichael', 'Katie Bell')",0.0
"('Eddie Carmichael', 'Kevin Whitby')",0.0
"('Eddie Carmichael', 'Lavender Brown')",0.0
"('Eddie Carmichael', 'Leanne')",0.0
"('Eddie Carmichael', 'Lee Jordan')",0.0
"('Eddie Carmichael', 'Lucian Bole')",0.0
"('Eddie Carmichael', 'Luna Lovegood')",0.0
"('Eddie Carmichael', 'Malcolm Baddock')",0.0
"('Eddie Carmichael', 'Mandy Brocklehurst')",0.0
"('Eddie Carmichael', 'Marcus Belby')",0.0
"('Eddie Carmichael', 'Marcus Flint')",0.0
"('Eddie Carmichael', 'Michael Corner')",0.0
"('Eddie Carmichael', 'Miles Bletchley')",0.0
"('Eddie Carmichael', 'Millicent Bulstrode')",0.0
"('Eddie Carmichael', 'Natalie McDonald')",0.0
"('Eddie Carmichael', 'Neville Longbottom')",0.0
"('Eddie Carmichael', 'Oliver Wood')",0.0
"('Eddie Carmichael', 'Orla Quirke')",0.0
"('Eddie Carmichael', 'Owen Cauldwell')",0.0
"('Eddie Carmichael', 'Padma Patil')",0.0
"('Eddie Carmichael', 'Pansy Parkinson')",0.0
"('Eddie Carmichael', 'Parvati Patil')",0.0
"('Eddie Carmichael', 'Penelope Clearwater')",0.0
"('Eddie Carmichael', 'Percy Weasley')",0.0
"('Eddie Carmichael', 'Peregrine Derrick')",0.0
"('Eddie Carmichael', 'Roger Davies')",0.0
"('Eddie Carmichael', 'Romilda Vane')",0.0
"('Eddie Carmichael', 'Ronald Weasley')",0.0
"('Eddie Carmichael', 'Rose Zeller')",0.0
"('Eddie Carmichael', 'Seamus Finnigan')",0.0
"('Eddie Carmichael', 'Stewart Ackerley')",0.0
"('Eddie Carmichael', 'Susan Bones')",0.0
"('Eddie Carmichael', 'Terry Boot')",0.0
"('Eddie Carmichael', 'Theodore Nott')",0.0
"('Eddie Carmichael', 'Vincent Crabbe')",0.0
"('Eddie Carmichael', 'Zacharias Smith')",0.0
"('Eleanor Branstone', 'Adrian Pucey')",0.0
"('Eleanor Branstone', 'Alicia Spinnet')",0.0
"('Eleanor Branstone', 'Angelina Johnson')",0.0
"('Eleanor Branstone', 'Anthony Goldstein')",0.0
"('Eleanor Branstone', 'Blaise Zabini')",0.0
"('Eleanor Branstone', 'C. Warrington')",0.0
"('Eleanor Branstone', 'Cedric Diggory')",0.0
"('Eleanor Branstone', 'Cho Chang')",0.0
"('Eleanor Branstone', 'Colin Creevey')",0.0
"('Eleanor Branstone', 'Cormac McLaggen')",0.0
"('Eleanor Branstone', 'Dean Thomas')",0.0
"('Eleanor Branstone', 'Demelza Robins')",0.0
"('Eleanor Branstone', 'Dennis Creevey')",0.0
"('Eleanor Branstone', 'Draco Malfoy')",0.0
"('Eleanor Branstone', 'Eddie Carmichael')",0.0
"('Eleanor Branstone', 'Ernie Macmillan')",0.0
"('Eleanor Branstone', 'Euan Abercrombie')",0.0
"('Eleanor Branstone', 'Fred Weasley')",0.0
"('Eleanor Branstone', 'George Weasley')",0.0
"('Eleanor Branstone', 'Ginny Weasley')",0.0
"('Eleanor Branstone', 'Graham Pritchard')",0.0
"('Eleanor Branstone', 'Gregory Goyle')",0.0
"('Eleanor Branstone', 'Hannah Abbott')",0.0
"('Eleanor Branstone', 'Harry James Potter')",0.0
"('Eleanor Branstone', 'Hermione Granger')",0.0
"('Eleanor Branstone', 'Jimmy Peakes')",0.0
"('Eleanor Branstone', 'Justin Finch-Fletchley')",0.0
"('Eleanor Branstone', 'Katie Bell')",0.0
"('Eleanor Branstone', 'Kevin Whitby')",0.0
"('Eleanor Branstone', 'Lavender Brown')",0.0
"('Eleanor Branstone', 'Leanne')",0.0
"('Eleanor Branstone', 'Lee Jordan')",0.0
"('Eleanor Branstone', 'Lucian Bole')",0.0
"('Eleanor Branstone', 'Luna Lovegood')",0.0
"('Eleanor Branstone', 'Malcolm Baddock')",0.0
"('Eleanor Branstone', 'Mandy Brocklehurst')",0.0
"('Eleanor Branstone', 'Marcus Belby')",0.0
"('Eleanor Branstone', 'Marcus Flint')",0.0
"('Eleanor Branstone', 'Michael Corner')",0.0
"('Eleanor Branstone', 'Miles Bletchley')",0.0
"('Eleanor Branstone', 'Millicent Bulstrode')",0.0
"('Eleanor Branstone', 'Natalie McDonald')",0.0
"('Eleanor Branstone', 'Neville Longbottom')",0.0
"('Eleanor Branstone', 'Oliver Wood')",0.0
"('Eleanor Branstone', 'Orla Quirke')",0.0
"('Eleanor Branstone', 'Owen Cauldwell')",0.0
"('Eleanor Branstone', 'Padma Patil')",0.0
"('Eleanor Branstone', 'Pansy Parkinson')",0.0
"('Eleanor Branstone', 'Parvati Patil')",0.0
"('Eleanor Branstone', 'Penelope Clearwater')",0.0
"('Eleanor Branstone', 'Percy Weasley')",0.0
"('Eleanor Branstone', 'Peregrine Derrick')",0.0
"('Eleanor Branstone', 'Roger Davies')",0.0
"('Eleanor Branstone', 'Romilda Vane')",0.0
"('Eleanor Branstone', 'Ronald Weasley')",0.0
"('Eleanor Branstone', 'Rose Zeller')",0.0
"('Eleanor Branstone', 'Seamus Finnigan')",0.0
"('Eleanor Branstone', 'Stewart Ackerley')",0.0
"('Eleanor Branstone', 'Susan Bones')",0.0
"('Eleanor Branstone', 'Terry Boot')",0.0
"('Eleanor Branstone', 'Theodore Nott')",0.0
"('Eleanor Branstone', 'Vincent Crabbe')",0.0
"('Eleanor Branstone', 'Zacharias Smith')",0.0
"('Ernie Macmillan', 'Adrian Pucey')",0.0
"('Ernie Macmillan', 'Alicia Spinnet')",0.06666666666666667
"('Ernie Macmillan', 'Angelina Johnson')",0.06666666666666667
"('Ernie Macmillan', 'Anthony Goldstein')",1.0
"('Ernie Macmillan', 'Blaise Zabini')",0.0
"('Ernie Macmillan', 'C. Warrington')",0.0
"('Ernie Macmillan', 'Cedric Diggory')",0.1111111111111111
"('Ernie Macmillan', 'Cho Chang')",0.125
"('Ernie Macmillan', 'Colin Creevey')",0.1111111111111111
"('Ernie Macmillan', 'Cormac McLaggen')",0.0
"('Ernie Macmillan', 'Dean Thomas')",0.07142857142857142
"('Ernie Macmillan', 'Demelza Robins')",0.0
"('Ernie Macmillan', 'Dennis Creevey')",0.1111111111111111
"('Ernie Macmillan', 'Draco Malfoy')",0.0
